Вопрос,Схема ответа,метка
Как настроить визуал карточки? |Как пользоваться конструктором для настройки визуала карточки?,"В реестре объекта необходимо перейти в карточку экземпляра или создать новый 
Нажать “Настройка визуального представления” (Карандаш в правом верхнем углу)
После этого можно осуществлять настройку

Подробнее в статье",2
Как сделать атрибуты в один столбец на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2. Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления”
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. С вкладки “Атрибуты” перетащить в добавленный ряд необходимые атрибуты, которые будут располагаться в столбик
6. Нажать “Ок” для сохранения результатов

Другие варианты настройки ищите в статье ниже или других статьях в вики",2
Как сделать атрибуты в одну строку на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2.Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления”
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. Затем в этот ряд  перетащить “Колонку”
6. С вкладки “Атрибуты” перетащить в добавленные колонки необходимые атрибуты, которые будут располагаться в строку
7. Нажать “Ок” для сохранения результатов

Другие варианты настройки ищите в статье ниже или других статьях в вики",2
Как сгруппировать атрибуты на визуале?,"Необходимо выполнить следующие действия:
1. Зайти в реестр типа объекта.
2. Нажать на кнопку “Создать” или открыть уже созданный экземпляр.
3. Нажать на кнопку “Настройка визуального представления
4. В открывшейся панели “Элементы” необходимо зайти на вкладку “Группировки” и перетащить “Ряд” в рабочую область
5. Затем в этот ряд  перетащить “Группу атрибутов”",2
Как настроить отображение группы атрибутов на визуале?,Читайте об этом в статье,2
"Можно ли разместить вкладки не горизонтально, а вертикально? ","В платформе есть виджет ""Управление вкладками"", он связывается с визуальной группировкой ""Группа вкладок"" (надо указать наименование группы вкладок в виджете) и предназначен для вертикального отображения группы вкладок. При этом сами вкладки настраиваются стандартно.

По умолчанию вкладки остаются видны, т. е. на визуале будут и вертикально расположенные вкладки и горизонтальные. Чтобы оставить только вертикальные нужно включить настройку Скрыть переключение вкладок.
",2
Как вынести рисунок/картинку на визуал?,"1. Можно создать специальный атрибут с  визуальным представлением ""Картинка""/""Image""

2. Другой способ:
Создать шаблон дашборда;
В нем использовать аналитическую панель ""Картинка"";
Использовать данный дашборд на 	нужном визуале.",2
Можно изменить названия атрибутов на визуале?,"Да, можно. Для этого необходимо дважды кликнуть по текущему названию атрибута, после чего оно станет доступным для изменения.",2
Как удалить экземпляры из реестра?,"Для того, чтобы удалить экземпляр из реестра типа объекта, необходимо выделить этот экземпляр в реестре и нажать “Удалить”",2
Как использовать виджет Редактор форм отчетности?,Работа с виджетом подробна описана в статье вики,2
Как настроить представление реестра?,Читайте об этом в статье,2
Как добавить столбцы в реестре?,"Для этого необходимо:
1. Нажать кнопку  “Настройки представления реестра” (гаечный ключ) в реестре типа
2. Чтобы добавить столбец, необходимо выбрать нужный в левой таблице и нажать на стрелку вправо. Чтобы убрать - выбрать столбец в правой таблице и нажать на стрелку влево.
",2
Как изменять ширину столбца при настройке представления реестра?,"Необходимо дважды кликнуть по ячейке ""Ширина столбца"", после чего значение станет доступным для изменения. Далее нужно сохранить результат, нажан на ""Ок"" или на ""Сохранить"".",2
Как изменить порядок столбцов в реестре?,"Для этого необходимо:
1. Нажать кнопку  “Настройки представления реестра” (гаечный ключ) в реестре типа
2. Выделить атрибут и кнопками справа вверх-вниз перемещать его.
3. Последовательность строк в данной таблице - то, в каком порядке будут располагаться столбцы в реестре слева направо.
",2
"Можно ли структурировать данные в реестре? Если да, то как?","Для удобства и наглядности данные в реестре можно структурировать следующим образом:
1. Создать объединенную шапку для столбцов
2. Создать группировки данных

Данные настройки производятся в настройках представления реестра ",2
Как сделать чтобы все объекты реестра появлялись на одном листе?,В меню представления реестра на вкладке “Стили отображения” нужно задать необходимое количество строк.,2
Как отключить отображение количества подразделов в реестре?,"Данная настройка является базовой при применении группировки по разделам, убрать количество подразделов настройкой  нельзя.",2
"В реестрах есть кнопка ""Выгрузить в excel"", можно ли самостоятельно настроить размеры шрифта и размеры полей в выгружаемом excel- файле?","Заранее в Системе нельзя настроить параметры, с которыми будут данные выгружаться в Excel, только в самом файле если корректировать после выгрузки.",2
А можно как-то поменять тему?,"Да, можно.

В приложении нужно нажать на имя пользователя в правом верхнем углу страницы.
Для того, чтобы выбрать из уже существующих, необходимо выбрать “Настройки оформления” в появившемся меню, после чего выбрать подходящую тему.

Подробнее в статье ",2
Как работает сортировка пунктов меню в системе?,"Пункты меню выстраиваются в соответствии с полем ""Порядок"".",2
Что такое бизнес-процесс?,"Бизнес-процесс (далее, БП) - это схема взаимодействия, алгоритм, по которому действуют пользователи для достижения результата.",2
Как создать бизнес-процесс?,"Для создания бизнес-процесса необходимо сделать следующее:
1. Зайти в реестр бизнес-процессов
2. Нажать на кнопку “Создать”
3. Далее откроется карточка бизнес-процесса. Необходимо заполнить поля “Наименование” и “Идентификатор”
4. Нажать на кнопку “Сохранить”

Подробнее в статье 

",2
Зачем связывать тип объекта и бизнес-процесс?,"Создание связи между бизнес-процессом и типом объекта предназначено для выбора объектов, в разрезе которых будет выполняться запуск настраиваемого бизнес-процесса.",2
Как связать тип объекта и бизнес-процесс?,"Настройка связей осуществляется в таблице ""Связанные типы объектов"" карточки бизнес-процесса.
Чтобы настроить связь типа объекта и бизнес-процесса необходимо:
1. Нажать кнопку создать в таблице “Связанные типы объектов”
2. В открывшемся модальном окне указать тип объекта, с которым необходимо связать данный бизнес-процесс
3. Нажать “Ок” или “Сохранить”.
4. Сохранить карточку бизнес-процесса.
",2
"После того, как я свяжу тип объекта и бизнес-процесс, смогу запускать его прямо из карточки объекта?","Да, после создания связи в карточке объекта автоматически отобразится кнопка ""Запустить БП"", а в меню ""Действия"" отобразится возможность ""Очистить все маршруты"". ",2
Зачем нужна настройка тегов для файлов?,"В случае необходимости прикрепления файлов (документов) по ходу бизнес-процесса, необходимо определить их классификацию.
Выбор классификаций файлов, необходимых к прикреплению, выполняется посредством настройки тегов и категорий файлов при работе с карточкой бизнес-процесса.

Настройка определяет категорию и/или присваивает тэг каждому добавленному на маршруте файлу. То есть данный файл прикрепляется к другим задачам согласно определенной категории/присвоенным тегам.

Подробнее в статье",2
Как открыть схему бизнес-процесса?,"Открыть схему бизнес-процесса. Это можно сделать тремя способами:
1. Выделить нужный бизнес-процесс в реестре бизнес-процессов, нажать “Действия”, после чего нажать “Схема БП”
2. Зайти в карточку бизнес-процесса и нажать “Схема процесса”
3. Зайти в карточку бизнес-процесса, нажать “Действия”, после чего нажать “Схема БП”",2
Как создать схему бизнес-процесса?,"Для создания схемы необходимо перейти в схему нужного бизнес-процесса.
Создание и настройка схемы осуществляется в рабочей области посредством перетаскивания и настройки элементов с панели

Для создания нового элемента на схеме БП необходимо перетащить его с панели слева.
Для связи элементов на схеме необходимо выделить исходный элемент и протянуть стрелку до элемента-назначения.
Сохранить изменения необходимо по кнопке, расположенной в левой нижней части рабочей области карточки БП. После чего Система уведомит о сохранении диаграммы.

Приступать к настройке этапов можно только после сохранения диаграммы!

Подробнее в статье",2
Как настроить этап бизнес-процесса?,"Чтобы настроить этап бизнес-процесса, необходимо выполнить следующее:
1. Открыть схему бизнес-процесса.
2. Нажать на этап, который нужно настроить (например, задача)
3. Нажать на “Change Type” (гаечный ключ)
4. Выбрать нужный тип этапа (например, задачи)
5. Сохранить диаграмму
6. Нажать на “Edit Object” (шестеренка)
7. Настроить этап в соответствии с задачей
8. Сохранить настройки

",2
"Нужно на нескольких пользователей назначать одну и ту же задачу, которую они должны выполнять параллельно. Как это можно реализовать? ","1. Поскольку задача         одинаковая, но согласно бизнес-кейсу         - каждый сотрудник должен ее выполнить,         то корректно с точки зрения Системы         будет создать для каждого сотрудника         отдельную задачу.         
         
2. Поскольку все задачи         должны выполняться параллельно, создаем         Параллельный шлюз и происходит         разветвление на 3 задачи после линейного         процесса.         
         
3. Аналогично и с окончанием задач,         линейный процесс должен продолжиться         только после того, как все 3 пользователя         выполнят свои задачи, поэтому на выходе         тоже параллельный шлюз, который         ждет завершения всех задач и только         после этого процесс будет идти дальше.   
",2
"Зачем нужно промежуточное событие, за что отвечает этот элемент?","Промежуточное событие происходит на отрезке, ограниченном Стартовым и Конечным событиями. Примером промежуточного события является автоматическое уведомление пользователя (например, для исполнителя задачи при её назначении). Промежуточное событие оказывает влияние на ход процесса, но не может являться началом или завершением бизнес-процесса. Элемент Промежуточное событие (сигнал-ожидание) ожидает и обрабатывает сигналы и в том случае, если сигнал-передатчик (Signal Intermediate Throw Event) находится в подпроцессе (не в основном процессе).",2
Как поменять тип события?,"Чтобы поменять тип события, необходимо выполнить следующее:
1. Открыть схему бизнес-процесса.
2. Нажать на событие, которое нужно изменить
3. Нажать на “Change Type” (гаечный ключ)
4. Выбрать нужный тип события
5. Сохранить диаграмму.",2
Как установить таймер на задачу?,"1. Чтобы установить таймер на задачу, необходимо перетащить промежуточное событие с панели инструментов на задачу
2. Нажать на него, затем на гаечный ключ. В открывшемся списке выбрать нужный тип таймера
3. Сохранить диаграмму",2
Как настроить сигналы на бизнес-процессе?,"Первым делом необходимо установить в бизнес-процессе сигнал источник, который будет передавать информацию сигналу-приемнику.

Далее необходимо настроить сигнал-источник:
1. Нажать на него и выбрать Edit object (шестеренки)
2. В открывшихся настройках указать “Сигнал”, через который будут связаны источник и приемник.
3. Нажать “Ок” или “Сохранить”.
4. Сохранить диаграмму.

Далее необходимо настроить сигнал-приемник. Для  этого нужно проделать те же самые действия с единственным различием - в настройках карточки этапа сигнала необходимо выбрать именно тот сигнал, который был установлен в источнике

",2
Чем отличается задача от подпроцесса?,"Пользовательская задача определяет необходимые действия исполнителя, а подпроцесс – действие Системы, представляющее собой отдельный бизнес-процесс.",2
Как поменять тип действия?,"Чтобы поменять тип действия, необходимо выполнить следующее:
1. Открыть схему бизнес процесса.
2. Нажать на этап, который нужно настроить
3. Нажать на “Change Type” (гаечный ключ)
4. Выбрать нужный тип действия
5. Сохранить диаграмму",2
Как настроить задачу в бизнес-процессе?,"В схеме процесса:
1. Нажать на “Edit Object” (шестеренка)
2. В открывшемся модальном окне осуществить настройки на соответствующих вкладках
3. После чего сохранить изменения, нажав на “Сохранить” или “Ок”",2
Что такое сервисная задача?,"Сервисная задача - действие, выполняемое Системой (чаще по заданному алгоритму). Для конечного пользователя сервисная задача недоступна к просмотру.",2
Как настроить сервисную задачу?,"В схеме процесса:
1. Нажать на “Edit Object” (шестеренка)
2. В открывшемся модальном окне осуществить настройки на соответствующих вкладках
3. После чего сохранить изменения, нажав на “Сохранить” или “Ок”",2
Где найти и как установить расширение на задачу?,"На схеме процесса для сервисной задачи:
1.Нажать на “Edit Object” (шестеренка).
2. В открывшемся модальном окне нажать на “Расширения” (находится в левом верхнем углу)
",2
Что такое задача-сценарий?,"Задача-сценарий – действие, которое подразумевает выполнение сценария (алгоритма) в рамках настраиваемого бизнес-процесса. Задача выполняется Системой автоматически. Используемый сценарий (алгоритм) должен быть сформирован заранее и представлять собой последовательность действий.",2
Как настроить задачу-сценарий?,"В схеме процесса:
1. Нажать на задачу, затем на гаечный ключ, в открывшемся списке выбрать Script Task (задача-сценарий)
2. Нажать на “Edit Object” (шестеренка)
3. В открывшемся модальном окне осуществить настройки на соответствующих вкладках
4. В открывшемся модальном окне заполнить алгоритм, который будет выполнять данная задача
5. Сохранить настройки, нажав “Сохранить” или “Ок”",2
Что такое шлюзы?,"Это элементы бизнес-процесса, которые используются для фиксации расхождений и схождений потока операций бизнес-процесса и определения хода маршрутного объекта.",2
Чем отличаются шлюза друг от друга?,"Шлюзы бывают пяти типов, каждый из которых решает определенные задачи
1. Эксклюзивный/ исключающий шлюз (оператор ""ИЛИ"", exclusive gateway):
     - если оператор используется для разветвления БП, то поток операций направляется лишь по одной исходящей ветви (в зависимости от условий);
     - если оператор используется для синхронизации, то он ожидает завершения выполнения хотя бы одной входящей ветви и активирует выходной поток.

2.  Параллельный шлюз (оператор ""И"", parallel gateway):
       - если оператор используется для ветвления, то он разделяет один поток управления на несколько параллельных. При этом все исходящие ветви активируются одновременно;
        - если оператор используется для синхронизации, то он ожидает завершения выполнения всех входящих ветвей и лишь затем активирует выходной поток.

3. Включающий шлюз (оператор включающего ИЛИ, inclusive gateway):
     - активирует одну или более исходящих ветвей, если осуществляется ветвление;
     - если оператор используется для синхронизации, то он ожидает завершения выполнения одной входящей ветви и активирует выходной поток.

4. Комплексный шлюз (complex gateway) – имеет несколько условий, в зависимости от выполнения которых активируются исходящие ветви. Настройка условий осуществляется в разрезе переходов (в карточке настройки элемента) выходящих из данного оператора

5. Неэксклюзивный шлюз (оператор исключающего ИЛИ, event based gateway) – направляет поток управления лишь по той исходящей ветви, на которой событие произошло  первым. После оператора данного типа могут следовать только события или действия-обработчики сообщений.



",2
Как настроить шлюзы?,"На схеме бизнес-процесса необходимо перетащить элемент шлюза в рабочую область и выбрать необходимый тип. 
Сохранить схему процесса",2
Что такое поток операций?,"Это элемент бизнес-процесса, который используется для отображения порядка, в котором организованы действия процесса.",2
"Не вижу поток операций на панели элементов, как его добавить на схему?","Предположим, у нас есть два действия, т.е. нужно направить поток операций от первого ко второму. Для этого:
1. Нажать на первое действие и выбрать Connect using Sequence/MessageFlow (стрелочки)
2. После этого за курсором потянется пунктирная линия
3. Навести курсор на второе действие
4. Один раз кликнуть по второму действию, после чего на схеме отобразится поток операций с нужным нам направлением",2
Какой тип перехода за что отвечает?,"Всего существует три типа потока операций:
1. Uncontrolled Flow, неконтролируемый поток операций, который относится к следующим потокам:
     - на которые не воздействую никакие условия;
     - не проходящим через шлюзы.
Простейшим примером Неконтролируемого потока может послужить отдельно взятый поток операций, объединяющий два действия.

2. Conditional Flow, условный поток операций, зависящий от условных выражений. Если Условный поток операций является исходящим от действия (задачи), то у основания линии изображается небольшой ромб.

3. Default Flow, условный поток операций, используемый при настройке элемента ""Условие, эксклюзивный шлюз"". Поток операций данного типа используется в случае, если остальные исходящие условные потоки операций не являются верными во время выполнения действия. Для изображения таких потоков операций используются диагональная черта, располагающиеся у основания линии.

",2
Как настроить поток операций?,"1. Добавить поток операций на схему бизнес процесса.
2. Нажать на поток, затем на Change Type (гаечный ключ).
3. Выбрать необходимый тип потока.
4. Сохранить диаграмму.
5. Нажать на поток, затем на Edit object (шестеренки).
6. Выбрать из существующих или создать новый алгоритм (условие) и/или алгоритм видимости перехода.
7. Нажать “Ок” или “Сохранить”.
8. Сохранить диаграмму. 
",2
Обязательно ли разбивать бизнес-процесс на пулы?,"Описание действий может выполняться как внутри пула, так и без границ (описание БП без использование пулов, дорожек).",2
Как добавить сноску?,"Для ввода комментария (сноски) необходимо нажать на элемент бизнес-процесса, затем на значок с пунктиром. После чего ввести необходимый комментарий (текст).",2
Как настроить права доступа для бизнес-процесса?,"Определение прав доступа к экземплярам типа объекта посредством прохождения объекта по бизнес-процессу доступно в случае, если Вид контроля прав в карточке объекта указан как ""Контроль прав по ответственным сотрудникам"". Виды разграничения доступа к объектам определяются в разрезе пользовательских групп доступа матрицы курируемости. Права назначаются пользователю или группе пользователей.",2
Что такое матрица курируемости?,"Это матрица, в которой описаны разрешенные взаимодействия ролей в рамках конкретного БП.",2
Для чего нужна матрица курируемости?,"Матрица курируемости нужна для реалиации следующих задач: 
1. Разграничение прав на просмотр и запись объекта. 
2. Определение потенциальных ответственных сотрудников по задачам. 
3. Определение подчиненных сотрудников.",2
Как настроить матрицу курируемости? | Как создать матрицу курируемости?,https://docs.google.com/document/d/1z92-U8cXdQO3PDpsc21oEMi078FqcNB74Dff_PMVMmI/edit,2
Для чего нужны нормативные сроки?,Для контроля сроков выполнения задач на бизнес-процессе.,2
Как настроить нормативный срок?,"Для того, чтобы настроить нормативные сроки, необходимо сделать следующее:
1. Открыть реестр с нормативными сроками
2. Нажать “Создать”
3. Заполнить обязательные атрибуты: 
      - Наименование;
      - Тип объекта, в разрезе которого нормативный будет применяться (блок полей ""Связи с типами объектов"");  
      - Тип назначения срока и сам срок (блок полей “Нормативный срок”);
      - Условия, по которым будет определяться применение нормативного срока к процессу (блок полей ""Условия отсчета нормативного срока"").
4. Сохранить карточку
",2
Можно ли привязать один и тот же нормативный срок к нескольким бизнес-процессам с одним и тем же маршрутным объектом?,"Да, можно. Для этого в карточке нормативного срока необходимо открыть Условия отсчета нормативного срока -> Процессы, после чего добавить все бизнес процессы, на которых необходимо установить данный нормативный срок.",2
Для чего нужны условия отсчета нормативного срока?,"В блоке полей “Условия отсчета нормативного срока” реализуются следующие настройки:
   -  Блок процессы – выбор бизнеса(ов), при запуске которого для объекта начнется отсчет нормативного срока выполнения задачи. Время выполнения бизнес процесса является завершением нормативного срока. При необходимости исключения из отсчета нормативного срока времени, затраченного на определенные этапы, их необходимо указать в таблице ""Этап процесса для исключения"" блока ""Этапы"";
   - Блок этапы (этапы бизнес-процесса) – выбор этапа(ов), на которых будет отсчитываться/ не отсчитываться нормативный срок.

Данная настройка будет транслироваться в поле ""Срок выполнения"" карточки этапа бизнес процесса. 

    - Блок группы доступа – выбор группы пользователей/роли для определения нормативного срока. В данном случае нормативный срок будет распространяться на все этапы БП, ответственными в которых указана данная группы пользователей/ роль.
    - Блок статусы - выбор статуса для определения нормативного срока.
",2
А можно как-то приостановить выполнение нормативного срока?,"Да, можно либо автоматически, либо вручную.

1. Автоматическая приостановка:
1.1. На дочернем бизнес-процессе необходимо настроить сервисное действие с одним из двух расширений: 
        - Приостановка нормативных сроков на родительском процессе.
        - Снятие приостановки нормативных сроков родительского процесса.
В таком случае приостановка нормативных сроков происходит для всех активных нормативных сроков родительского процесса, в рамках которого был запущен дочерний.
2. Ручная приостановка:
2.1. Открыть карточку задачи, для которой необходимо приостановить отсчет нормативного срока.
2.2. Нажать кнопку ""Приостановить нормативный срок"". Система отобразит запрос причины приостановки.
2.3. Указать причину приостановки нормативного срока.
",2
Как запустить бизнес-процесс?,"1. Открыть карточку маршрутного объекта данного бизнес-процесса.
2. Либо нажать “Запустить процесс”, либо нажать “Действия”, и в открывшемся списке выбрать “Запустить бизнес-процесс”.
3. Далее откроется модальное окно, в котором будут перечислены все бизнес-процессы, у которых данный объект является маршрутным объектом. Нажать на бизнес-процесс, который нужно запустить.
4. Нажать “Запустить”.

",2
Как посмотреть маршрут бизнес-процесса?,"1. Открыть карточку маршрутного объекта данного бизнес-процесса.
2. Либо нажать “Маршрут”, либо нажать “Действия”, и в открывшемся списке выбрать “Маршрут”.
3. Откроется модальное окно, в котором будут указаны этапы бизнес-процесса вплоть до текущего. Чтобы посмотреть графическую схему бизнес-процесса, необходимо нажать на его название
",2
Как открыть карточку задачи?,"Чтобы открыть карточку задачи можно сделать следующее:
- Нажать на кнопку ""Перейти к задаче"" в уведомлении, которое поступает пользователю в момент назначения (генерации) задачи
- В карточке маршрута бизнес-процесса нажать на нужный этап
- Через реестр типов объектов перейти в реестр типа “ДО. Задача на процессе”, где найти нужную задачу и открыть ее карточку
",2
Можно ли перейти к предыдущему этапу бизнес-процесса и как это сделать?,"Да, можно.
Для этого рядом с этапом, до которого требуется откатить бизнес-процесс, нужно нажать на пиктограмму выхода
",2
Можно как-то удалить все запущенные бизнес-процессы по объекту и как?,"Да, можно.
Для этого в карточке объекта необходимо нажать “Действия”, а затем “Очистить все маршруты”.",2
Как посмотреть у какого пользователя какие задачи?,"Это можно посмотреть в реестре типа объекта ""ДО. Задача на процессе"".",2
"Как из карточки можно убрать кнопку ""Запустить бизнес-процесс""? ",Отображение кнопки запуска бизнес-процесса не регулируется аналитиком. ,2
"Задача на БП ни на кого не назначилась (пусто в исполнителе задачи), что делать? | У пользователей не отображаются назначенные на них задачи. С чем это может быть связано?","Необходимо проверить настройку роли на данном этапе бизнес-процесса, а также проверить, есть ли данная роль у пользователя.",2
"Задача назначилась на пользователя, но под аккаунтом этого пользователя система выдает ""недостаточно прав на чтение"", что делать?","Необходимо раздать права к маршрутному объекту (тип объекта, по которому запускается бизнес-процесс) для группы доступа данного пользователя.",2
"Под аккаунтом пользователя не получается открыть графическую схему бизнес-процесса, что делать?","Необходимо раздать права на чтение на соответствующий бизнес-процесс в типе объектов ""ДО. Бизнес процесс"".",2
"Почему в маршрутном объекте не отображаются кнопки ""Запустить процесс"" и ""Маршрут""?","Данные кнопки не отображаются, если нет прав на связь бизнес-процесса и типа объекта для нужной группы.",2
"При попытке удалить бизнес-процесс появляется ошибка ”Запрещено удалять элементы бизнес-процесса через реестры”. Что сделать, чтобы удалить бизнес-процесс?","Удалять бизнес-процесс (БП) можно при условии отсутствия в реестре ""ДО.экземпляр запущенного процесса"" экземпляров этого БП. Т.о. надо завершить экземпляры бизнес-процесса, который необходимо удалить.",2
Что такое бизнес-правила?,"Бизнес-правила - это алгоритмы, т.е. последовательность вычислительных шагов, выполняющих преобразование входных данных в выходные.",2
Для чего нужны алгоритмы?,"С помощью бизнес-правил (алгоритмов) решаются следующие задачи: 
1. Заполнение атрибутов; 
2. Фильтрация элементов; 
3. Создание условий на бизнес процессе; 
4. Создание действий на бизнес процессе; 
5. Трансформация отчетности; 
6. Расчет вычислимых показателей в рамках методик.",2
Где найти алгоритмы?,"Все алгоритмы располгаются в реестре алгоритмов. Чтобы в него попасть, необходимо в пункт меню Администрирование - Управление объектами - Алгоритмы объектов.",2
Как создать алгоритм?,"Создать алгоритм можно двумя способами:
 - Из реестра алгоритмов (Администрирование - Управление объектами - Алгоритмы объектов; в открывшемся реестре нажать “Создать”).
 - Из текущей карточки (место, где требуется вставить алгоритм; нажать на три точки - добавить):
     1. В открывшейся карточке алгоритма заполнить Наименование и Идентификатор в блоке “Общая информация” и Базовый тип объектов (иногда не требуется) в блоке “Параметры“.
     2. Создать алгоритм (функции добавляются с помощью нажатия на соответствующие кнопки) в блоке “Формула/алгоритм”.
     3. Сохранить карточку.

",2
Как удалить алгоритм?,"Необходимо выбрать алгоритм в реестре алгоритмов и нажать ""Удалить"" (крестик) на панели инструментов.",2
Можно ли вернуть предыдущую версию алгоритма?,"Нет, нельзя. После сохранения изменений, первоначальный вид алгоритма будет недоступен. Откат изменеий карточки алгоритма невозможен.",2
"Как проверить, правильно ли работает алгоритм?","1. Зайти в карточку алгоритма и нажать “Выполнить алгоритм”
2. Указать объект, по которому будет запущен алгоритм (Через ввод идентификатора или выбор из списка)
3. Нажать “Рассчитать”.",2
Почему введенная с клавиатуры функция не работает?,"Функции необходимо добавлять не вручную, а со вкладок с функциями, путем нажатия на соответствующие кнопки.",2
